id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM064,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,setembro,2009,50.0,2300.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Brycon spp.,100.0,False
BM065,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,62.0,4000.0,1,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Pimelodus blochii,100.0,False
BM066,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,31.0,1000.0,2,100.0,False,0.0,0.0,65.0,0.0,35.0,0.0,100.0,2,Siluriformes,65.0,True
BM067,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,33.0,1500.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM068,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,43.0,2000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2,Prochilodus nigricans,95.0,True
BM069,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,37.0,3000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Prochilodus nigricans,100.0,False
BM070,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,39.0,2000.0,1,100.0,False,20.0,0.0,0.0,0.0,80.0,0.0,100.0,2,Pimelodus blochii,80.0,True
BM071,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,40.0,1500.0,1,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Amblydoras spp.,100.0,False
BM072,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,56.0,2000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Calophysus macropterus,100.0,False
BM073,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,36.0,1500.0,2,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Curimatidae,100.0,False
